stc_or_wing,extracted_stc
17645,12142
m1052,12145
14777,12153
14777,12168
17401,12171
17402,12173
17900,12174
17713,12176
17714,12177
17714a,12178
14782.5,12179
17634,12182
17635,12186
17901,12187
25173,1219
25176,12190
25177,12191
25177a,12193a
14779,12197
17632,12199
17633a,122
17633,12202
25175,12203
18430,12204
18431,12206a
14772,12206a
17882,12207
17883,12212
17885,12216
17884,12219
17898,12221
12963,12223
23696,12224
11995,1223
6493,12233
11163,12234
11163.3,12235
6509,12239
6307,12241
4628,12243
c578,12245
17642,12251
17642,12253
22460,12259
22461,12260
s3493,12261
11541,12262
11542,12264
w2983,12265
6302,12267
6303,12268
22444,12269
22445,12271
17641,12272
17877,12275
19462,12276
6506,12278
17640,12280
17640,12281
17640.5,12285
17640.5,1229
14776,12292
5125,12294
4911.2,12295
4911,12296
6529,12299
22456,12300
22457,12301a
14780,12306
11083,12307
4993,12308
4992,1231
c1946,12310
c1947,12311
13320,12318
13320,12321
11980,12322
11981,12323
13351,12324
15036,12325
15036a,1233
17716,12333
7242,12334
14762,12336
24155,12337
24155a,12340
24156,12341
j1011,12342
11977,12343
17636,12345
21423,12354
17443,12355
17443.5,12360
22437,12361
3819,12362
17646,12366
12935,12367
13347,1237
13340,12370a
13340.5,12372
13340,12374
20692,12377
20692a,12381
20693,12384
20693a,1239
r239b,12391
17638,12392
17638.5,12397
21425,124
25582,1240
25582a,12400
22439,12403
17639,12403
17412,12404
21421,12406
22462,12407
11164,12412
22436,12415
11156,12422
17442,12425
10886,12426
13348,1243
13315,12430
11982,12431
11165,12437
11165,1244
5023,12452
22458.5,12454
22459,12455
22459a.5,12456
22459a.5,12457
22459b,12458a
22459b,1246
21416,12466
11157,12468
11157,1247
11075,12480
13357,12481
13373,12485
23808,12490
4618,12492
14719,12494
14719,12495
22458,12496
21470,12498
13348a,12499
14721,125
6308,12508
15100,12510
15100,12511a
13352,1252
13352,12527
13353,12529
13354,1253
17637,12530
6305,12531
6309,12531
6309,12533
6533,12539
13311,12543
21688,12543
4187.5,12547
4188,12556
5026,12559
18341,12560
18342,12561
11066,12561
b1585,12564
b1586,12568
11067,12571
13364,12572
22446,12576
22448,12577
22463,12582
24910,12585
22442,12586
13349,12587
22443,12588
17937,12589
5770,12590
c6309,12591
14718,12594
16923,12598
21422,12602
11159,12604
22435,12605
22435,12606
1901.5,12607
1902,12608
1903,12609
13370,12610
22441b,12611
22441,12614
22441a,12615
14958,12616
k444,12620
k444a,12622
22454,12626a
22454a,12627
5904,12628
18344,12629
18345a,12632
18345,12642
23420,12646
s6121a,12646b
s6121,12647
s6127,12648b
18339,12649
18340,12650
18340.5,12652
15014,12654
13359,12656
4995,12657a
4996,12659
17717,12661
m1416,12663
17718,12665
17718a,12666
m1416,12671
11161,12673
26133,12674
11908,12675
11908,12677
11071,12678
17643,12679
11369,12690
11369.5,12692
11369a,12693
f2136,12694a
6315,12696
6315a,12699
22450a,127
22450,1270
1691,12705
11912,12709a
11913,12710
11064,12710
11065,12712
13350,12713
6181,12714
17750,12715
m1467,12720
16873,12722
4717,12726
4718,1273
6306,12731
22440,12731
22449,12734
11072,12735
22451,12736
22451a,12737
22452,12738
18338,12739
22447,12739
21011,12740
12397,12741
12397,12742
12397.5,12744
12397.5,12745
12398,12746
12398,12747
12398,12749
12398,1274a
6174,1275
18346,12750
20770,12751
r365a,12752
22453,12754
12133,12759
12134,1276
3818,12761
3820,12766
3820,12769
12587,12771
12587,12772
4946,12773
4946,12776
11910,12779
11914,12782
22438,12786
22455,12788
11909,1279
21542,12794
21542,12798
5771,1280
22377,12805
11073,12806
12757,12810
m703,12811
d466,12812
n702,12817
b5751,12836
b4270,12854
b4270b,12857
b4270a,12857
s6125a,12857
s6122,12858
s6127,12859
d1009,12860
b5298,12861
d348,12863
d349,12865
b5734,12866
s3488,1287
s6129,12870
s6127,12871
g2174,12874
g2175,12876
s3160,1288
s3168,12880
b4425,12883
n394,12884
n1036a,12885
s2097,12888
m1463,12891
m1464,12894
m1464,12898
m1465,1290
c6772,12902
s2294,12903
d1216,12906
d1495,12907
k324,12908
s2513,12914
m2281,12916
m2281,12918
m2284,1291a
m2282,12922
m2283,12923
b981,12925
f384,12926
not in wing,12927
n877,12928
n877,12929
d1667,12930
s4690,12931
d329,12939
p967,1294
o630b,12943
t2018,12945
t2018a,12950
t2018b,12953
s2318,12957
s2318a,12958
b199,1296
q118,12962
q119,12963
w3327,12968
n877,12970
c6673,12971
c6673,12972
t219,12974
w2262,12976
s2512,12981
s3166,12984
b4902,12984
a3685,12986
s58,12988
m549,12989
j1015,12992
b1616,12995
m548,12998
b4873,13000
m550,13001
g2125,13003
t235,1301
t235,13011
t235a,13015
m1981,13020
m1980,13021
s3464,13022
s3465,1303
s3465a,13039
h1422,1304
h1423,13041
g641,13047
q155,13048
m1986,1305
b4866,13050
b4868,13051
s3460,13052
s3485,13054
s3466,13055
s3476,13057
s3461,13059
s3463,13060
c1952,13062
c1952a,13065
c1948,13067
c1949,13075
c1949,13089
c1951,1309
w1216,13090
w1215,13091
w1217,13092
w1218,13093
f1209,13098
m1564,13098
b4850,13098
c6323,131
f1228,13100
f1228,13108
h1783,13109
b4426,13111
d101,13112
r1446,13114
b892,13116
b3554,13118
b3554,13119
s5983,1312
s3469,13126
s3468,1313
g1315,13135
d370,13138
s3483,13142
s3482,13149
c6316,13159
g1005,13161
p3315,13165
d339,13166
d339,13167
d341,13171
b5455,13174
c6313,13175
m1048,13175
f1467,13180
f1467,13181
f1467,13182
f1467,13183
f1467,13190
f1468,13193
f1468,13194
d323,13196
c4896,13208
b4882,13219
j1071,13221
j1071,13224
not in wing,1323
g584,13239
g585,1324
t226,13242
j1031,13246
j1031,13247
j1032,13248
l3504ab,13249
l3504a,13254
not in wing,13256
m1985,13258
c579,1326
w2264,13262
m1412,13263
r2097,13265
t225,13267
t225,1327
d321,13270
m1046,13272
m1046,13274
m1046,13277
m1046,1328
m1046,1328
m1047,1329
l3314,13290
l3315,13290
m1822,13290
c1865,13291
s6263,13294
s6262,13296
m1824,13297
